Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
PNPNF,POWER METALLIC MINES INC,OTCQB,0.985650,0.055639,157251,Foreign Ordinary Shares,Canada,Ontario
REMYY,REMY COINTREAU UNSP/ADR,Pink Limited,4.840000,-0.056530,22196,ADRs,France,
GGII,GREEN GLOBE INTL INC NEW,OTCID,0.000001,0.000000,2300,Common Stock,USA,Nevada
PDIV,PREMIER DEV & INVST INC A,OTCID,0.030000,0.000000,14300,Common Stock,South Africa,
TWIRF,TREE ISLAND STEEL LTD NEW,Pink Limited,1.950100,-0.000461,10400,Foreign Ordinary Shares,Canada,British Columbia
BLLB,BELL BUCKLE HLDGS INC,OTCID,0.000600,0.000000,551774,Common Stock,USA,Florida
DBMM,DIGITAL BRAND M & M GRP,OTCID,0.000687,0.000000,866777,Common Stock,USA,New York
MRNJ,METATRON INC,OTCID,0.000001,0.000000,7142,Common Stock,USA,Delaware
AURI,AURI INC,OTCID,0.000150,-0.250000,6598712,Common Stock,USA,Wyoming
PPJE,PPJ HEALTHCARE ENTERPRISE,Pink Limited,0.000001,0.000000,27080,Common Stock,USA,Florida
FCCN,SPECTRAL CAPITAL CORP,OTCQB,3.100000,-0.025770,2381,Common Stock,USA,Washington
LLLI,LAMPERD LESS LETHAL INC,OTCID,0.003600,-0.280000,2000,Common Stock,Canada,Ontario
LBSR,LIBERTY STAR URANM METLS,OTCQB,0.038700,-0.032500,1415853,Common Stock,USA,Arizona
IFSPF,INTERFOR CORP,Pink Limited,7.312000,0.011342,16367,Foreign Ordinary Shares,Canada,British Columbia
GSSRF,GOSSAN RESOURCES LTD CDA,Pink Limited,0.010000,-0.677419,500,Foreign Ordinary Shares,Canada,Manitoba
SEKEY,SEIKO EPSON CORP UNSP/ADR,Pink Limited,6.850000,0.022388,17253,ADRs,Japan,
CYBL,CYBERLUX CORP,OTCID,0.001650,0.000000,15095253,Common Stock,USA,North Carolina
