Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason
AVGO,2025-10-02 09:45:00-04:00,334.88,2025-10-02 10:35:00-04:00,341.05,36.6,Take Profit
AVGO,2025-10-31 09:50:00-04:00,371.81,2025-10-31 12:05:00-04:00,368.89,-15.94,Stop Loss
AVGO,2025-11-18 10:00:00-05:00,334.85,2025-11-18 11:15:00-05:00,340.34,32.53,Take Profit
AVGO,2025-11-25 09:45:00-05:00,372.19,2025-11-25 12:45:00-05:00,381.05,47.4,Time Stop
AVGO,2025-12-11 09:45:00-05:00,397.11,2025-12-11 12:45:00-05:00,402.7,27.95,Time Stop
AVGO,2025-12-31 09:45:00-05:00,345.14,2025-12-31 12:45:00-05:00,346.99,10.49,Time Stop
AVGO,2026-01-08 09:45:00-05:00,334.15,2026-01-08 12:45:00-05:00,331.15,-18.2,Time Stop
AVGO,2026-01-22 09:45:00-05:00,330.41,2026-01-22 10:10:00-05:00,328.23,-13.41,Stop Loss
AVGO,2026-02-02 14:55:00-05:00,330.16,2026-02-02 15:55:00-05:00,332.3,12.71,Take Profit
AVGO,2026-02-11 10:15:00-05:00,334.9,2026-02-11 12:25:00-05:00,341.12,36.91,Take Profit
AVGO,2026-03-20 10:10:00-04:00,314.24,2026-03-20 12:05:00-04:00,317.3,19.25,Take Profit
AVGO,2026-03-30 09:50:00-04:00,297.07,2026-03-30 10:40:00-04:00,293.8,-22.32,Stop Loss
JPM,2021-06-07 09:55:00-04:00,146.16,2021-06-07 10:45:00-04:00,145.61,-8.1,Stop Loss
JPM,2021-06-17 09:45:00-04:00,136.44,2021-06-17 11:00:00-04:00,135.2,-18.74,Stop Loss
JPM,2021-07-16 10:00:00-04:00,136.78,2021-07-16 10:40:00-04:00,135.98,-12.29,Stop Loss
JPM,2021-09-01 09:45:00-04:00,141.05,2021-09-01 10:30:00-04:00,142.03,13.32,Take Profit
JPM,2021-11-26 09:45:00-05:00,141.72,2021-11-26 10:45:00-05:00,143.47,24.09,Take Profit
JPM,2021-11-29 10:00:00-05:00,143.48,2021-11-29 13:00:00-05:00,144.26,10.32,Time Stop
JPM,2021-12-08 09:45:00-05:00,143.97,2021-12-08 09:50:00-05:00,145.0,13.69,Take Profit
JPM,2022-01-10 09:50:00-05:00,149.13,2022-01-10 12:50:00-05:00,149.32,2.01,Time Stop
JPM,2022-01-19 09:45:00-05:00,134.01,2022-01-19 12:45:00-05:00,133.83,-3.28,Time Stop
JPM,2022-02-14 14:00:00-05:00,136.02,2022-02-14 15:45:00-05:00,136.99,13.74,Take Profit
JPM,2022-03-03 10:50:00-05:00,123.72,2022-03-03 13:50:00-05:00,124.31,8.89,Time Stop
JPM,2022-03-07 09:45:00-05:00,116.18,2022-03-07 12:45:00-05:00,116.61,6.71,Time Stop
JPM,2022-04-01 09:45:00-04:00,121.76,2022-04-01 10:15:00-04:00,120.91,-14.6,Stop Loss
JPM,2022-05-10 10:15:00-04:00,109.76,2022-05-10 10:30:00-04:00,108.99,-14.82,Stop Loss
JPM,2022-06-06 11:15:00-04:00,117.78,2022-06-06 14:15:00-04:00,117.67,-2.55,Time Stop
JPM,2022-06-13 10:50:00-04:00,104.79,2022-06-13 11:35:00-04:00,105.59,14.58,Take Profit
JPM,2022-07-11 14:55:00-04:00,102.73,2022-07-11 15:05:00-04:00,102.41,-7.03,Stop Loss
JPM,2022-08-12 10:00:00-04:00,109.04,2022-08-12 10:45:00-04:00,109.69,11.15,Take Profit
