Ticker,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Shares,PnL
DDOG,2024-05-08 13:30:00-04:00,2024-05-08 14:30:00-04:00,117.0,116.58,Time Stop (Stagnant),8.547,-3.63
DDOG,2024-05-08 14:40:00-04:00,2024-05-08 15:25:00-04:00,116.98,116.34,SL / Trail Exit,8.5485,-5.47
DDOG,2024-05-13 15:15:00-04:00,2024-05-13 15:35:00-04:00,118.87,118.51,SL / Trail Exit,8.4126,-3.07
DDOG,2024-05-16 13:30:00-04:00,2024-05-16 14:10:00-04:00,121.46,121.0,SL / Trail Exit,8.2332,-3.79
DDOG,2024-05-16 14:40:00-04:00,2024-05-16 15:25:00-04:00,121.55,121.19,SL / Trail Exit,8.2267,-3.0
DDOG,2024-05-22 14:45:00-04:00,2024-05-22 15:45:00-04:00,122.0,122.38,EOD Cutoff,8.1967,3.07
DDOG,2024-06-11 14:35:00-04:00,2024-06-11 15:45:00-04:00,113.97,114.27,EOD Cutoff,8.7742,2.63
DDOG,2024-06-13 13:35:00-04:00,2024-06-13 13:55:00-04:00,119.65,119.24,SL / Trail Exit,8.3574,-3.47
DDOG,2024-06-13 14:30:00-04:00,2024-06-13 15:45:00-04:00,119.62,120.01,EOD Cutoff,8.3595,3.18
DDOG,2024-06-24 13:00:00-04:00,2024-06-24 13:05:00-04:00,119.73,119.33,SL / Trail Exit,8.3521,-3.34
DDOG,2024-06-25 13:50:00-04:00,2024-06-25 14:50:00-04:00,119.66,119.38,Time Stop (Stagnant),8.3567,-2.38
DDOG,2024-06-26 13:10:00-04:00,2024-06-26 13:45:00-04:00,123.71,123.34,SL / Trail Exit,8.0834,-2.99
DDOG,2024-06-26 13:50:00-04:00,2024-06-26 15:45:00-04:00,123.55,123.2,EOD Cutoff,8.0939,-2.83
DDOG,2024-07-02 13:00:00-04:00,2024-07-02 13:15:00-04:00,130.78,131.62,TP (3R Target),7.6461,6.37
DDOG,2024-07-11 14:30:00-04:00,2024-07-11 15:05:00-04:00,127.68,127.22,SL / Trail Exit,7.8321,-3.6
DDOG,2024-07-15 15:15:00-04:00,2024-07-15 15:35:00-04:00,130.03,129.58,SL / Trail Exit,7.6906,-3.45
DDOG,2024-07-16 14:40:00-04:00,2024-07-16 15:45:00-04:00,130.06,130.51,EOD Cutoff,7.6888,3.46
DDOG,2024-07-25 13:40:00-04:00,2024-07-25 14:40:00-04:00,121.21,120.84,Time Stop (Stagnant),8.2501,-3.05
DDOG,2024-07-25 15:05:00-04:00,2024-07-25 15:40:00-04:00,120.8,120.7,SL / Trail Exit,8.2781,-0.83
DDOG,2024-07-31 13:00:00-04:00,2024-07-31 13:30:00-04:00,116.93,116.46,SL / Trail Exit,8.5521,-4.02
DDOG,2024-07-31 14:50:00-04:00,2024-07-31 15:25:00-04:00,116.89,116.37,SL / Trail Exit,8.5551,-4.49
DDOG,2024-08-06 13:50:00-04:00,2024-08-06 15:00:00-04:00,106.55,106.08,SL / Trail Exit,9.3853,-4.41
DDOG,2024-08-07 15:15:00-04:00,2024-08-07 15:45:00-04:00,108.53,108.34,EOD Cutoff,9.214,-1.7
DDOG,2024-08-13 13:25:00-04:00,2024-08-13 13:30:00-04:00,114.78,114.36,SL / Trail Exit,8.7123,-3.7
DDOG,2024-08-13 14:35:00-04:00,2024-08-13 15:35:00-04:00,114.55,114.3,Time Stop (Stagnant),8.7298,-2.18
DDOG,2024-08-14 13:25:00-04:00,2024-08-14 15:10:00-04:00,114.14,114.08,Time Stop (Stagnant),8.7612,-0.53
DDOG,2024-08-19 13:05:00-04:00,2024-08-19 14:05:00-04:00,115.97,115.83,Time Stop (Stagnant),8.623,-1.2
DDOG,2024-08-19 14:30:00-04:00,2024-08-19 15:45:00-04:00,116.01,116.47,EOD Cutoff,8.6199,3.97
DDOG,2024-08-26 15:15:00-04:00,2024-08-26 15:45:00-04:00,117.11,116.83,EOD Cutoff,8.539,-2.39
DDOG,2024-08-29 13:50:00-04:00,2024-08-29 14:25:00-04:00,115.81,115.03,SL / Trail Exit,8.6348,-6.74
DDOG,2024-09-10 14:40:00-04:00,2024-09-10 15:35:00-04:00,108.22,107.86,SL / Trail Exit,9.2404,-3.33
DDOG,2024-09-11 13:25:00-04:00,2024-09-11 15:45:00-04:00,108.28,109.05,EOD Cutoff,9.2353,7.11
DDOG,2024-09-12 13:30:00-04:00,2024-09-12 14:05:00-04:00,110.41,110.16,SL / Trail Exit,9.0576,-2.22
DDOG,2024-09-12 15:15:00-04:00,2024-09-12 15:45:00-04:00,110.21,109.94,EOD Cutoff,9.0736,-2.45
DDOG,2024-09-16 13:00:00-04:00,2024-09-16 13:15:00-04:00,110.69,110.3,SL / Trail Exit,9.0342,-3.52
DDOG,2024-09-16 13:20:00-04:00,2024-09-16 14:10:00-04:00,110.49,110.71,SL / Trail Exit,9.0506,1.97
DDOG,2024-09-16 14:30:00-04:00,2024-09-16 15:30:00-04:00,110.92,110.87,Time Stop (Stagnant),9.0155,-0.45
DDOG,2024-09-23 13:30:00-04:00,2024-09-23 15:30:00-04:00,116.05,116.09,SL / Trail Exit,8.617,0.34
DDOG,2024-09-24 13:00:00-04:00,2024-09-24 13:50:00-04:00,117.4,116.97,SL / Trail Exit,8.5179,-3.66
DDOG,2024-09-24 15:15:00-04:00,2024-09-24 15:40:00-04:00,117.34,117.06,SL / Trail Exit,8.5222,-2.34
DDOG,2024-10-02 13:25:00-04:00,2024-10-02 14:25:00-04:00,115.77,115.84,SL / Trail Exit,8.6378,0.6
DDOG,2024-10-02 14:30:00-04:00,2024-10-02 14:45:00-04:00,116.19,115.78,SL / Trail Exit,8.6066,-3.53
DDOG,2024-10-02 14:50:00-04:00,2024-10-02 15:45:00-04:00,116.02,116.41,EOD Cutoff,8.6192,3.36
DDOG,2024-10-03 13:20:00-04:00,2024-10-03 13:35:00-04:00,117.9,117.46,SL / Trail Exit,8.4818,-3.73
DDOG,2024-10-03 13:40:00-04:00,2024-10-03 14:45:00-04:00,117.54,117.48,Time Stop (Stagnant),8.5077,-0.51
DDOG,2024-10-08 14:50:00-04:00,2024-10-08 15:40:00-04:00,124.29,123.8,SL / Trail Exit,8.0459,-3.92
DDOG,2024-10-09 13:05:00-04:00,2024-10-09 13:20:00-04:00,126.33,125.77,SL / Trail Exit,7.9155,-4.47
DDOG,2024-10-09 13:30:00-04:00,2024-10-09 13:50:00-04:00,125.71,125.14,SL / Trail Exit,7.9548,-4.53
DDOG,2024-10-10 14:30:00-04:00,2024-10-10 15:05:00-04:00,129.81,129.31,SL / Trail Exit,7.7036,-3.85
